estrategia,metrica,media,desvio,erro_padrao,ic95_inferior,ic95_superior,n
central_global_rlnc,execucao_fisica,0.8977129630,0.0562648390,0.0010272507,0.8956995516,0.8997263744,3000
central_global_rlnc,conclusao_informacional,0.8904166667,0.0579357596,0.0010577574,0.8883434621,0.8924898712,3000
central_global_rlnc,valor_entregue,0.8928780940,0.0644864175,0.0011773555,0.8905704772,0.8951857108,3000
central_global_rlnc,cumprimento_prazo,0.8904166667,0.0579357596,0.0010577574,0.8883434621,0.8924898712,3000
central_global_rlnc,energia_consumida,0.0953778162,0.0074407125,0.0001358482,0.0951115537,0.0956440786,3000
central_global_rlnc,pacotes_transmitidos,10.8700925926,0.9937852548,0.0181439534,10.8345304440,10.9056547412,3000
central_global_rlnc,conflitos_consenso,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3000
central_global_rlnc,reatribuicoes,0.1022870370,0.0562648390,0.0010272507,0.1002736256,0.1043004484,3000
central_global_rlnc,aceitacoes_degradadas,0.0024575590,0.0122167397,0.0002230461,0.0020203886,0.0028947294,3000
central_global_rlnc,conectividade,0.9988518519,0.0181110242,0.0003306606,0.9982037572,0.9994999465,3000
central_global_rlnc,atraso_decodificacao,13.8519722484,0.8711744985,0.0159053975,13.8207976694,13.8831468275,3000
central_global_rlnc,continuidade,0.9086422878,0.0509725282,0.0009306268,0.9068182593,0.9104663163,3000
gulosa_distribuida,execucao_fisica,0.8857129630,0.0589567403,0.0010763979,0.8836032231,0.8878227028,3000
gulosa_distribuida,conclusao_informacional,0.5352222222,0.1184092728,0.0021618477,0.5309850008,0.5394594436,3000
gulosa_distribuida,valor_entregue,0.5347789768,0.1271759531,0.0023219046,0.5302280438,0.5393299099,3000
gulosa_distribuida,cumprimento_prazo,0.5352222222,0.1184092728,0.0021618477,0.5309850008,0.5394594436,3000
gulosa_distribuida,energia_consumida,0.0888867071,0.0065059642,0.0001187821,0.0886538942,0.0891195201,3000
gulosa_distribuida,pacotes_transmitidos,8.0539259259,0.7591524161,0.0138601634,8.0267600056,8.0810918462,3000
gulosa_distribuida,conflitos_consenso,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3000
gulosa_distribuida,reatribuicoes,0.1142870370,0.0589567403,0.0010763979,0.1121772972,0.1163967769,3000
gulosa_distribuida,aceitacoes_degradadas,0.0755782855,0.0826247530,0.0015085147,0.0726215967,0.0785349744,3000
gulosa_distribuida,conectividade,0.9988518519,0.0181110242,0.0003306606,0.9982037572,0.9994999465,3000
gulosa_distribuida,atraso_decodificacao,12.9811591317,1.0292157712,0.0187908231,12.9443291183,13.0179891450,3000
gulosa_distribuida,continuidade,0.6395941180,0.0936952259,0.0017106330,0.6362412774,0.6429469586,3000
leilao_distribuido,execucao_fisica,0.8659351852,0.0681443824,0.0012441405,0.8634966698,0.8683737006,3000
leilao_distribuido,conclusao_informacional,0.4954814815,0.1319636319,0.0024093153,0.4907592236,0.5002037394,3000
leilao_distribuido,valor_entregue,0.4912495453,0.1402433906,0.0025604823,0.4862310000,0.4962680905,3000
leilao_distribuido,cumprimento_prazo,0.4954814815,0.1319636319,0.0024093153,0.4907592236,0.5002037394,3000
leilao_distribuido,energia_consumida,0.1003174600,0.0103649560,0.0001892373,0.0999465548,0.1006883651,3000
leilao_distribuido,pacotes_transmitidos,257.2614074074,36.5811210533,0.6678768393,255.9523688023,258.5704460125,3000
leilao_distribuido,conflitos_consenso,0.0435617284,0.0485343241,0.0008861115,0.0418249499,0.0452985069,3000
leilao_distribuido,reatribuicoes,0.1340648148,0.0681443824,0.0012441405,0.1316262994,0.1365033302,3000
leilao_distribuido,aceitacoes_degradadas,0.3405587526,0.2638150943,0.0048165826,0.3311182507,0.3499992545,3000
leilao_distribuido,conectividade,0.9988518519,0.0181110242,0.0003306606,0.9982037572,0.9994999465,3000
leilao_distribuido,atraso_decodificacao,14.0379322602,1.3320661555,0.0243200894,13.9902648850,14.0855996354,3000
leilao_distribuido,continuidade,0.6059164393,0.1048740053,0.0019147286,0.6021635712,0.6096693074,3000
leilao_resiliente_sem_codigo,execucao_fisica,0.8981296296,0.0561818617,0.0010257358,0.8961191875,0.9001400717,3000
leilao_resiliente_sem_codigo,conclusao_informacional,0.7277500000,0.0836833279,0.0015278415,0.7247554306,0.7307445694,3000
leilao_resiliente_sem_codigo,valor_entregue,0.7288062040,0.0933426708,0.0017041962,0.7254659794,0.7321464286,3000
leilao_resiliente_sem_codigo,cumprimento_prazo,0.7277500000,0.0836833279,0.0015278415,0.7247554306,0.7307445694,3000
leilao_resiliente_sem_codigo,energia_consumida,0.0955451629,0.0075005593,0.0001369409,0.0952767588,0.0958135669,3000
leilao_resiliente_sem_codigo,pacotes_transmitidos,260.1903055556,36.4042047613,0.6646468045,258.8875978187,261.4930132924,3000
leilao_resiliente_sem_codigo,conflitos_consenso,0.0436967095,0.0487148811,0.0008894080,0.0419534699,0.0454399492,3000
leilao_resiliente_sem_codigo,reatribuicoes,0.1018703704,0.0561818617,0.0010257358,0.0998599283,0.1038808125,3000
leilao_resiliente_sem_codigo,aceitacoes_degradadas,0.0073658788,0.0185907123,0.0003394184,0.0067006187,0.0080311389,3000
leilao_resiliente_sem_codigo,conectividade,0.9988518519,0.0181110242,0.0003306606,0.9982037572,0.9994999465,3000
leilao_resiliente_sem_codigo,atraso_decodificacao,13.3973954660,0.8313312822,0.0151779632,13.3676466581,13.4271442739,3000
leilao_resiliente_sem_codigo,continuidade,0.7859813427,0.0692639833,0.0012645815,0.7835027629,0.7884599226,3000
carma_rlnc_adaptativa,execucao_fisica,0.8982685185,0.0560051453,0.0010225094,0.8962644001,0.9002726369,3000
carma_rlnc_adaptativa,conclusao_informacional,0.8862314815,0.0587376092,0.0010723971,0.8841295831,0.8883333798,3000
carma_rlnc_adaptativa,valor_entregue,0.8880305051,0.0654540394,0.0011950218,0.8856882623,0.8903727478,3000
carma_rlnc_adaptativa,cumprimento_prazo,0.8862314815,0.0587376092,0.0010723971,0.8841295831,0.8883333798,3000
carma_rlnc_adaptativa,energia_consumida,0.0954965063,0.0074642178,0.0001362773,0.0952294027,0.0957636099,3000
carma_rlnc_adaptativa,pacotes_transmitidos,351.8923888889,100.3973526285,1.8329964916,348.2997157653,355.4850620125,3000
carma_rlnc_adaptativa,conflitos_consenso,0.0347379342,0.0443645620,0.0008099824,0.0331503688,0.0363254997,3000
carma_rlnc_adaptativa,reatribuicoes,0.1017314815,0.0560051453,0.0010225094,0.0997273631,0.1037355999,3000
carma_rlnc_adaptativa,aceitacoes_degradadas,0.0071861033,0.0186964496,0.0003413489,0.0065170594,0.0078551471,3000
carma_rlnc_adaptativa,conectividade,0.9988518519,0.0181110242,0.0003306606,0.9982037572,0.9994999465,3000
carma_rlnc_adaptativa,atraso_decodificacao,13.8402323957,0.8655235799,0.0158022263,13.8092600322,13.8712047593,3000
carma_rlnc_adaptativa,continuidade,0.9052277525,0.0515205718,0.0009406326,0.9033841125,0.9070713925,3000
