perda_global,estrategia,conclusao_informacional,valor_entregue,continuidade,pacotes_transmitidos,episodios
0.0500,central_global_rlnc,0.8987037037,0.9025294461,0.9157647230,10.7595833333,600
0.0500,gulosa_distribuida,0.6053703704,0.6022174432,0.6908402031,8.0763888889,600
0.0500,leilao_distribuido,0.5620833333,0.5582305911,0.6558213141,252.8711111111,600
0.0500,leilao_resiliente_sem_codigo,0.7408333333,0.7421538069,0.7957898664,256.8150462963,600
0.0500,carma_rlnc_adaptativa,0.8954166667,0.8999286964,0.9134990704,268.2146759259,600
0.1500,central_global_rlnc,0.8940277778,0.8955756742,0.9112299667,10.9455092593,600
0.1500,gulosa_distribuida,0.5071759259,0.5075457781,0.6190668705,8.0120370370,600
0.1500,leilao_distribuido,0.4610648148,0.4565171809,0.5802470164,258.0420370370,600
0.1500,leilao_resiliente_sem_codigo,0.7145833333,0.7156790171,0.7763510826,260.8682870370,600
0.1500,carma_rlnc_adaptativa,0.8907407407,0.8929711584,0.9091615052,351.7333796296,600
0.2500,central_global_rlnc,0.8841203704,0.8853002433,0.9034579920,11.0407407407,600
0.2500,gulosa_distribuida,0.4510648148,0.4482833454,0.5756393579,8.0247685185,600
0.2500,leilao_distribuido,0.4109722222,0.4055080879,0.5416545069,259.1921296296,600
0.2500,leilao_resiliente_sem_codigo,0.7092592593,0.7096595374,0.7717001391,261.7194907407,600
0.2500,carma_rlnc_adaptativa,0.8737962963,0.8760892756,0.8961650082,479.9044907407,600
0.3500,central_global_rlnc,0.8670833333,0.8691334937,0.8910273950,11.0617592593,600
0.3500,gulosa_distribuida,0.4182870370,0.4177479364,0.5521957275,8.0172685185,600
0.3500,leilao_distribuido,0.3818518519,0.3810899013,0.5222347655,259.0342592593,600
0.3500,leilao_resiliente_sem_codigo,0.7187037037,0.7215840278,0.7802827547,259.5942129630,600
0.3500,carma_rlnc_adaptativa,0.8568518519,0.8586994647,0.8831182509,503.7813888889,600
